Year,Category,Subject,World Rank,Institution,Country,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Natural Sciences,Mathematics,1,Paris-Saclay University,France,328.5,89.4,71.0,73.8,88.9,100.0
2021,Natural Sciences,Mathematics,2,Princeton University,United States,311.2,72.8,88.1,65.8,100.0,81.2
2021,Natural Sciences,Mathematics,3,Sorbonne University,France,269.1,100.0,70.4,72.9,93.2,26.1
2021,Natural Sciences,Mathematics,4,University of Cambridge,United Kingdom,262.9,64.5,88.7,79.7,77.8,60.3
2021,Natural Sciences,Mathematics,5,University of Oxford,United Kingdom,256.2,80.5,73.2,76.9,76.1,47.7
2021,Natural Sciences,Mathematics,6,Stanford University,United States,251.3,64.9,86.6,65.2,87.4,42.6
2021,Natural Sciences,Mathematics,7,Massachusetts Institute of Technology (MIT),United States,243.5,80.1,83.6,64.0,82.7,26.1
2021,Natural Sciences,Mathematics,8,New York University,United States,243.1,61.9,93.2,67.8,60.7,60.3
2021,Natural Sciences,Mathematics,9,ETH Zurich,Switzerland,234.1,72.3,76.7,79.5,64.9,42.6
2021,Natural Sciences,Mathematics,10,The University of Texas at Austin,United States,227.2,67.3,82.8,67.3,48.7,56.4
2021,Natural Sciences,Mathematics,11,"University of California, Los Angeles",United States,219.7,63.7,82.3,65.4,64.9,36.9
2021,Natural Sciences,Mathematics,12,"University of California, Berkeley",United States,218.4,71.5,77.2,63.2,74.3,21.3
2021,Natural Sciences,Mathematics,13,PSL University,France,214.4,71.5,79.5,72.8,58.5,30.2
2021,Natural Sciences,Mathematics,14,University of Bonn,Germany,212.8,65.8,76.6,73.7,51.3,42.6
2021,Natural Sciences,Mathematics,15,University of Wisconsin - Madison,United States,209.3,58.6,77.5,64.9,68.8,30.2
2021,Natural Sciences,Mathematics,16,Harvard University,United States,200.6,48.5,80.6,64.3,68.8,30.2
2021,Natural Sciences,Mathematics,17,Imperial College London,United Kingdom,199.5,71.8,81.3,81.9,70.7,0.0
2021,Natural Sciences,Mathematics,18,University of Warwick,United Kingdom,198.1,59.1,69.7,78.0,45.9,42.6
2021,Natural Sciences,Mathematics,19,Stony Brook University,United States,197.6,44.7,76.5,67.5,58.5,42.6
2021,Natural Sciences,Mathematics,20,University of Chicago,United States,196.5,63.8,78.2,62.5,81.1,0.0
2021,Natural Sciences,Mathematics,21,"Rutgers, The State University of New Jersey - New Brunswick",United States,195.6,59.4,70.0,74.5,56.2,30.2
2021,Natural Sciences,Mathematics,22,University of Paris,France,189.1,67.7,68.7,72.6,72.5,0.0
2021,Natural Sciences,Mathematics,23,Kyoto University,Japan,187.6,58.1,66.5,60.2,62.8,21.3
2021,Natural Sciences,Mathematics,24,The Hebrew University of Jerusalem,Israel,181.2,44.0,60.7,79.0,64.9,26.1
2021,Natural Sciences,Mathematics,25,Columbia University,United States,178.9,56.7,83.3,68.6,66.9,0.0
2021,Natural Sciences,Mathematics,26,University of Toronto,Canada,176.6,59.7,64.5,79.4,68.8,0.0
2021,Natural Sciences,Mathematics,27,University of Illinois at Urbana-Champaign,United States,175.5,59.5,64.6,68.5,48.7,21.3
2021,Natural Sciences,Mathematics,27,University of Michigan-Ann Arbor,United States,175.5,66.4,68.0,61.3,62.8,0.0
2021,Natural Sciences,Mathematics,29,Georgia Institute of Technology,United States,169.8,67.7,73.3,70.5,51.3,0.0
2021,Natural Sciences,Mathematics,30,Northwestern University,United States,169.3,47.3,86.2,60.2,66.9,0.0
2021,Natural Sciences,Mathematics,31,Institut Polytechnique de Paris,France,168.2,66.0,72.0,74.6,51.3,0.0
2021,Natural Sciences,Mathematics,32,KTH Royal Institute of Technology,Sweden,168.0,48.3,68.7,80.1,32.4,36.9
2021,Natural Sciences,Mathematics,33,University of Vienna,Austria,167.3,70.4,70.6,78.8,45.9,0.0
2021,Natural Sciences,Mathematics,34,"University of Maryland, College Park",United States,165.5,57.5,75.8,69.5,56.2,0.0
2021,Natural Sciences,Mathematics,35,The University of Edinburgh,United Kingdom,164.6,51.2,78.2,78.9,32.4,26.1
2021,Natural Sciences,Mathematics,36,Ecole Normale Superieure - Lyon,France,163.2,39.3,69.1,72.6,48.7,26.1
2021,Natural Sciences,Mathematics,37,Tel Aviv University,Israel,160.6,56.9,64.4,76.6,56.2,0.0
2021,Natural Sciences,Mathematics,38,Brown University,United States,159.9,59.9,81.9,65.5,45.9,0.0
2021,Natural Sciences,Mathematics,39,California Institute of Technology,United States,158.5,47.3,74.9,65.3,60.7,0.0
2021,Natural Sciences,Mathematics,39,University of Zurich,Switzerland,158.5,44.5,82.5,82.4,56.2,0.0
2021,Natural Sciences,Mathematics,41,Peking University,China,158.4,73.1,69.0,55.5,39.7,0.0
2021,Natural Sciences,Mathematics,42,Texas A&M University,United States,157.9,65.6,76.9,70.7,39.7,0.0
2021,Natural Sciences,Mathematics,43,"University of California, San Diego",United States,156.5,54.4,68.6,70.3,32.4,21.3
2021,Natural Sciences,Mathematics,44,University of Washington,United States,156.2,54.7,77.7,69.9,48.7,0.0
2021,Natural Sciences,Mathematics,45,University of British Columbia,Canada,153.6,61.2,72.3,82.2,39.7,0.0
2021,Natural Sciences,Mathematics,46,Swiss Federal Institute of Technology Lausanne,Switzerland,152.2,57.7,75.4,85.2,39.7,0.0
2021,Natural Sciences,Mathematics,47,Fudan University,China,151.2,68.2,76.0,62.6,32.4,0.0
2021,Natural Sciences,Mathematics,48,Université Grenoble Alpes,France,150.8,56.6,63.2,69.9,48.7,0.0
2021,Natural Sciences,Mathematics,49,University of Muenster,Germany,150.5,48.5,77.2,73.6,48.7,0.0
2021,Natural Sciences,Mathematics,50,Purdue University - West Lafayette,United States,149.9,62.4,74.1,70.4,36.3,0.0
2021,Natural Sciences,Mathematics,51-75,Aix Marseille University,France,,63.3,63.2,77.8,28.1,0.0
2021,Natural Sciences,Mathematics,51-75,Humboldt University of Berlin,Germany,,54.8,72.4,76.0,42.9,0.0
2021,Natural Sciences,Mathematics,51-75,Indiana University Bloomington,United States,,45.1,66.5,69.1,42.9,0.0
2021,Natural Sciences,Mathematics,51-75,International School for Advanced Studies,Italy,,44.4,87.4,74.3,32.4,0.0
